orden,producto,tienda,fecha,cantidad,venta,descuento,impuestos,creditos,moneda,pos,is_walkout
M999000070,p100014,3,2022-12-01,1,9200,,1932,,ARS,1,TRUE
M999000070,p100023,3,2022-12-01,1,1800,,378,,ARS,1,TRUE
M999000071,p100022,3,2022-12-01,1,121200,,25452,,ARS,1,TRUE
M999000071,p100023,3,2022-12-01,1,1800,,378,,ARS,1,TRUE
M999000072,p100023,3,2022-12-01,1,1800,,378,,ARS,2,TRUE
M999000073,p100023,3,2022-12-01,1,1800,,378,,ARS,2,TRUE
M999000074,p100015,3,2022-12-01,1,1200,-120,226.8,,ARS,2,TRUE
M999000075,p100015,3,2022-12-01,1,1200,,226.8,,ARS,2,TRUE
M999000076,p100015,3,2022-12-01,1,1200,,226.8,,ARS,2,TRUE
M999000077,p200010,4,2022-12-01,2,36000,,7560,,ARS,2,TRUE
M999000078,p200010,4,2022-12-01,1,18000,,3780,,ARS,3,TRUE
M999000079,p200010,4,2022-12-01,1,18000,,3780,,ARS,3,TRUE
M999000079,p200034,4,2022-12-01,1,9000,-700,1890,,ARS,1,TRUE
M999000080,p200034,4,2022-12-01,1,9000,,1890,,ARS,1,TRUE
M999000081,p200034,4,2022-12-01,1,9000,,1890,,ARS,1,TRUE
M999000082,p100012,9,2022-12-01,1,230,,23,,EUR,3,TRUE
M999000082,p100023,9,2022-12-01,2,13.2,,2.772,,EUR,3,TRUE
M999000082,p100015,9,2022-12-01,1,4.4,,0.924,,EUR,1,TRUE
M999000083,p100013,9,2022-12-01,1,230,,23,,EUR,3,TRUE
M999000084,p100013,9,2022-12-01,1,230,,23,,EUR,3,TRUE
M999000085,p100013,9,2022-12-01,1,230,,23,,EUR,3,TRUE
M999000086,p300002,8,2022-12-01,1,120,,12,,EUR,3,TRUE
M999000086,p300005,8,2022-12-01,1,210,,21,,EUR,3,TRUE
M999000087,p300009,8,2022-12-01,1,160,,16,,EUR,3,TRUE
M999000088,p300010,8,2022-12-01,1,160,,16,,EUR,3,TRUE
M999000089,p300010,8,2022-12-01,1,160,,16,,EUR,3,TRUE
M999000090,p300010,8,2022-12-01,1,160,,16,,EUR,3,TRUE
M999000090,p300005,8,2022-12-01,1,210,,21,,EUR,3,TRUE
