codigo_producto,nombre,is_primary
p100014,Samsung,TRUE
p100023,TodoTech,TRUE
p100023,Soportes TV,FALSE
p100023,La cueva de la tecnologia,FALSE
p100022,Philips,TRUE
p100015,Soportes TV,FALSE
p100015,La cueva de la tecnologia,TRUE
p200010,JBL,TRUE
p200034,Philips,TRUE
p200087,Compumundo,FALSE
p200087,Acer,TRUE
p200088,Motorola,TRUE
p200089,Samsung,TRUE
p300001,Levi's,TRUE
p300002,Levi's,TRUE
p300003,Levi's,TRUE
p300004,Tommy Hilfiger,TRUE
p300005,Tommy Hilfiger,TRUE
p300006,Tommy Hilfiger,TRUE
p300007,Tommy Hilfiger,TRUE
p300008,Tommy Hilfiger,TRUE
p300009,Tommy Hilfiger,TRUE
p100012,Hisense,TRUE
p100013,LG,TRUE
