tienda,sku,fecha,inicial,final
1,p300001,2022-12-01,6,14
1,p300002,2022-12-01,4,7
1,p300003,2022-12-01,5,11
1,p300004,2022-12-01,6,4
1,p300005,2022-12-01,3,10
1,p300006,2022-12-01,5,9
1,p300007,2022-12-01,14,5
1,p300008,2022-12-01,15,2
1,p300009,2022-12-01,14,4
1,p300001,2022-12-02,10,12
1,p300002,2022-12-02,11,4
1,p300003,2022-12-02,8,3
1,p300004,2022-12-02,4,12
1,p300005,2022-12-02,4,3
1,p300006,2022-12-02,9,7
1,p300007,2022-12-02,4,14
1,p300008,2022-12-02,8,10
1,p300009,2022-12-02,11,6
2,p300001,2022-12-01,14,13
2,p300002,2022-12-01,11,9
2,p300003,2022-12-01,14,2
2,p300004,2022-12-01,15,12
2,p300005,2022-12-01,13,3
2,p300006,2022-12-01,2,7
2,p300007,2022-12-01,4,3
2,p300008,2022-12-01,2,6
2,p300009,2022-12-01,8,3
2,p300001,2022-12-02,13,11
2,p300002,2022-12-02,13,9
2,p300003,2022-12-02,4,13
2,p300004,2022-12-02,11,9
2,p300005,2022-12-02,3,14
2,p300006,2022-12-02,10,14
2,p300007,2022-12-02,9,2
2,p300008,2022-12-02,7,14
2,p300009,2022-12-02,4,15
3,p100014,2022-12-01,4,14
3,p100023,2022-12-01,11,5
3,p100022,2022-12-01,4,10
3,p100015,2022-12-01,4,13
3,p200010,2022-12-01,12,2
3,p200034,2022-12-01,3,5
3,p200087,2022-12-01,4,11
3,p200088,2022-12-01,2,3
3,p200089,2022-12-01,6,14
3,p100012,2022-12-01,2,15
3,p100013,2022-12-01,6,5
3,p100014,2022-12-02,8,10
3,p100023,2022-12-02,11,6
3,p100022,2022-12-02,3,15
3,p100015,2022-12-02,8,9
3,p200010,2022-12-02,13,2
3,p200034,2022-12-02,6,11
3,p200087,2022-12-02,12,5
3,p200088,2022-12-02,12,10
3,p200089,2022-12-02,2,8
3,p100012,2022-12-02,2,7
3,p100013,2022-12-02,8,2
4,p100014,2022-12-01,11,7
4,p100023,2022-12-01,13,4
4,p100022,2022-12-01,15,11
4,p100015,2022-12-01,10,11
4,p200010,2022-12-01,2,8
4,p200034,2022-12-01,14,5
4,p200087,2022-12-01,13,13
4,p200088,2022-12-01,2,13
4,p200089,2022-12-01,7,6
4,p100012,2022-12-01,6,3
4,p100013,2022-12-01,3,4
4,p100014,2022-12-02,8,13
4,p100023,2022-12-02,8,15
4,p100022,2022-12-02,10,10
4,p100015,2022-12-02,14,11
4,p200010,2022-12-02,4,11
4,p200034,2022-12-02,8,8
4,p200087,2022-12-02,10,15
4,p200088,2022-12-02,6,13
4,p200089,2022-12-02,13,14
4,p100012,2022-12-02,5,5
4,p100013,2022-12-02,3,10
5,p100014,2022-12-01,4,9
5,p100023,2022-12-01,13,6
5,p100022,2022-12-01,9,12
5,p100015,2022-12-01,14,3
5,p200010,2022-12-01,6,2
5,p200034,2022-12-01,3,7
5,p200087,2022-12-01,3,9
5,p200088,2022-12-01,13,2
5,p200089,2022-12-01,9,5
5,p100012,2022-12-01,9,12
5,p100013,2022-12-01,5,8
5,p100014,2022-12-02,9,8
5,p100023,2022-12-02,9,6
5,p100022,2022-12-02,11,2
5,p100015,2022-12-02,6,6
5,p200010,2022-12-02,3,11
5,p200034,2022-12-02,6,4
5,p200087,2022-12-02,4,3
5,p200088,2022-12-02,9,15
5,p200089,2022-12-02,7,9
5,p100012,2022-12-02,5,6
5,p100013,2022-12-02,7,7
8,p300001,2022-12-01,4,10
8,p300002,2022-12-01,7,15
8,p300003,2022-12-01,2,12
8,p300004,2022-12-01,13,9
8,p300005,2022-12-01,14,14
8,p300006,2022-12-01,6,3
8,p300007,2022-12-01,8,8
8,p300008,2022-12-01,12,9
8,p300009,2022-12-01,6,6
8,p300001,2022-12-02,12,5
8,p300002,2022-12-02,14,8
8,p300003,2022-12-02,2,2
8,p300004,2022-12-02,11,15
8,p300005,2022-12-02,6,4
8,p300006,2022-12-02,7,2
8,p300007,2022-12-02,10,3
8,p300008,2022-12-02,3,8
8,p300009,2022-12-02,15,2
9,p100014,2022-12-01,8,7
9,p100023,2022-12-01,3,12
9,p100022,2022-12-01,14,4
9,p100015,2022-12-01,13,2
9,p200010,2022-12-01,6,2
9,p200034,2022-12-01,13,7
9,p200087,2022-12-01,9,9
9,p200088,2022-12-01,9,5
9,p200089,2022-12-01,3,10
9,p100012,2022-12-01,11,10
9,p100013,2022-12-01,5,13
9,p100014,2022-12-02,6,4
9,p100023,2022-12-02,8,15
9,p100022,2022-12-02,6,5
9,p100015,2022-12-02,10,13
9,p200010,2022-12-02,11,6
9,p200034,2022-12-02,5,9
9,p200087,2022-12-02,15,3
9,p200088,2022-12-02,14,14
9,p200089,2022-12-02,13,5
9,p100012,2022-12-02,3,9
9,p100013,2022-12-02,8,9
